name	type	checksum	instrument	read_length	library
02202018-D06-NA18913.fastq.gz	fastq	1ed8099680ac4dd044c6e15121ecbd6d	HiSeq 2500	50	single
02202018-D07-NA19159.fastq.gz	fastq	117440286cf6d4078eab5401f55efb8b	HiSeq 2500	50	single
02202018-D08-NA18913.fastq.gz	fastq	ffc1e91e46abb6f482137d862ff17693	HiSeq 2500	50	single
02202018-D09-NA19159.fastq.gz	fastq	1c130834273c60636dd82f92bfe77323	HiSeq 2500	50	single
02202018-D10-NA19159.fastq.gz	fastq	03eed31a15195876baf4f491d51846a4	HiSeq 2500	50	single
02202018-D11-NA18913.fastq.gz	fastq	0904816c07348ac73b9584d320ec4a16	HiSeq 2500	50	single
02202018-D12-NA19159.fastq.gz	fastq	9b0f5c7d84e77de1e0f73fc51c0849e8	HiSeq 2500	50	single
02202018-E01-NA19203.fastq.gz	fastq	4539c80c49938996d798794e644e0aa7	HiSeq 2500	50	single
02202018-E02-NA19159.fastq.gz	fastq	13876b4240e71154e1dacdcd732207ac	HiSeq 2500	50	single
02202018-E03-NA19159.fastq.gz	fastq	8c907965d8bd8021dcfd135722650d22	HiSeq 2500	50	single
02202018-E04-NA19159.fastq.gz	fastq	550a1de03b145614dd6b1879ccc8659f	HiSeq 2500	50	single
02202018-E05-NA19203.fastq.gz	fastq	2355a753e9c9a9435c9503dadaa17fe0	HiSeq 2500	50	single
02202018-E06-NA19159.fastq.gz	fastq	9d52b39a948d714605eb03f8048428eb	HiSeq 2500	50	single
02202018-E07-NA19159.fastq.gz	fastq	2f0cdd4c057f9a313a56403b3344cc01	HiSeq 2500	50	single
02202018-E08-NA19159.fastq.gz	fastq	bfae59b744c1f3b12e8f3c941666691f	HiSeq 2500	50	single
02202018-E09-NA19159.fastq.gz	fastq	80fc8bce097ed629d1f84eeecbb19dbf	HiSeq 2500	50	single
02202018-E10-NA19203.fastq.gz	fastq	a84b6445cee19865a31d38534e529350	HiSeq 2500	50	single
02202018-E11-NA19159.fastq.gz	fastq	20643b2ca0d6c3492961ce01aee92f4a	HiSeq 2500	50	single
02202018-E12-NA19203.fastq.gz	fastq	d26e51b29242e05d13aa3929e31e708d	HiSeq 2500	50	single
02202018-F01-NA19203.fastq.gz	fastq	8215a038663ecf6a9f440b48c95446bd	HiSeq 2500	50	single
02202018-F02-NA19203.fastq.gz	fastq	9d81e520ae3de42115c9ed2ced13a147	HiSeq 2500	50	single
02202018-F03-NA19203.fastq.gz	fastq	78d4236deadd786fcf4c46d095fe179e	HiSeq 2500	50	single
02202018-F04-NA19203.fastq.gz	fastq	af97df3be9eb377e79e7555bbb5f3e9d	HiSeq 2500	50	single
02202018-F05-NA19159.fastq.gz	fastq	cd551dfbfca2965ba01c02859a0ea5c0	HiSeq 2500	50	single
02202018-F06-NA19204.fastq.gz	fastq	2dcd23d3eb476cbdce46872e13cc3a0b	HiSeq 2500	50	single
