sample	chip_id	chipmix	freemix	snps	reads	avg_dp	min_dp	snps_w_min
04142017-H10_S766	NA18507	0.13943	0.07448	311848	4050	0.01	1	1739
04142017-H11_S767	NA19203	0.12189	0.02978	311848	4218	0.01	1	1881
04142017-H12_S768	NA18862	0.10075	0.05315	311848	5313	0.02	1	2347
04202017-A01_S1057	NA18856	0.39001	0.22367	311848	4229	0.01	1	1904
04202017-A02_S1058	NA18862	0.48290	0.20314	311848	3794	0.01	1	1709
04202017-A03_S1059	NA18856	0.12429	0.07376	311848	4383	0.01	1	2020
04202017-A04_S1060	NA18856	0.21350	0.06060	311848	4110	0.01	1	1907
04202017-A05_S1061	NA18856	0.64648	0.31214	311848	416	0.00	1	306
04202017-A06_S1062	NA18508	0.28332	0.13879	311848	3027	0.01	1	1526
04202017-A07_S1063	NA19190	0.28949	0.15406	311848	1364	0.00	1	867
04202017-A08_S1064	NA18856	0.17005	0.05417	311848	3888	0.01	1	1761
04202017-A09_S1065	NA18862	0.60616	0.18887	311848	970	0.00	1	605
04202017-A10_S1066	NA18498	0.10885	0.14161	311848	3706	0.01	1	1765
04202017-A11_S1067	NA18862	0.48479	0.14456	311848	1505	0.00	1	792
04202017-A12_S1068	NA18862	0.23563	0.07794	311848	2872	0.01	1	1448
04202017-B01_S1069	NA18508	0.54933	0.24461	311848	4046	0.01	1	1840
04202017-B02_S1070	NA19190	0.33462	0.16137	311848	887	0.00	1	631
04202017-B03_S1071	NA18508	0.30599	0.19211	311848	1886	0.01	1	973
04202017-B04_S1072	NA18508	0.08434	0.10239	311848	2215	0.01	1	1121
04202017-B05_S1073	NA18498	0.58213	0.35069	311848	7025	0.02	1	2820
04202017-B06_S1074	NA18508	0.06888	0.06960	311848	3642	0.01	1	1679
04202017-B07_S1075	NA19190	0.65197	0.10138	311848	497	0.00	1	339
04202017-B08_S1076	NA18856	0.22587	0.11013	311848	2260	0.01	1	1115
04202017-B09_S1077	NA18856	0.69257	0.02569	311848	675	0.00	1	457
04202017-B10_S1078	NA18508	0.21597	0.09290	311848	2750	0.01	1	1479
04202017-B11_S1079	NA18856	0.19047	0.09307	311848	1935	0.01	1	1337
04202017-B12_S1080	NA18856	0.25439	0.07564	311848	2667	0.01	1	1279
04202017-C01_S1081	NA18508	0.11748	0.06419	311848	3118	0.01	1	1483
04202017-C02_S1082	NA18508	0.33659	0.49992	311848	1345	0.00	1	724
04202017-C03_S1083	NA18508	0.10477	0.07230	311848	3842	0.01	1	1812
04202017-C04_S1084	NA18508	0.53573	0.29703	311848	4849	0.02	1	2169
04202017-C05_S1085	NA19190	0.15914	0.12578	311848	1226	0.00	1	689
04202017-C06_S1086	NA18508	0.14870	0.08689	311848	2371	0.01	1	1169
04202017-C07_S1087	NA18508	0.38776	0.23919	311848	4422	0.01	1	2016
04202017-C08_S1088	NA19190	0.15392	0.11858	311848	2478	0.01	1	1211
04202017-C09_S1089	NA18856	0.39274	0.12659	311848	1139	0.00	1	709
04202017-C10_S1090	NA18856	0.17783	0.07010	311848	3077	0.01	1	1441
04202017-C11_S1091	NA19190	0.57996	0.27824	311848	742	0.00	1	436
04202017-C12_S1092	NA19190	0.29496	0.17167	311848	2299	0.01	1	1176
04202017-D01_S1093	NA19190	0.34100	0.10528	311848	1930	0.01	1	1048
04202017-D02_S1094	NA18856	0.27224	0.09833	311848	3144	0.01	1	1572
04202017-D03_S1095	NA18856	0.57528	0.15618	311848	3370	0.01	1	1495
04202017-D04_S1096	NA19190	0.22968	0.14616	311848	2162	0.01	1	1026
04202017-D05_S1097	NA18862	0.10241	0.06340	311848	5167	0.02	1	2278
04202017-D06_S1098	NA19190	0.69693	0.16876	311848	559	0.00	1	397
04202017-D07_S1099	NA18498	0.10182	0.10576	311848	4252	0.01	1	1774
04202017-D08_S1100	NA18856	0.13134	0.03849	311848	1995	0.01	1	947
04202017-D09_S1101	NA19190	0.16996	0.09906	311848	2204	0.01	1	1050
04202017-D10_S1102	NA18856	0.53307	0.17320	311848	3752	0.01	1	1768
04202017-D11_S1103	NA19190	0.11991	0.08092	311848	2563	0.01	1	1449
04202017-D12_S1104	NA18508	0.12659	0.04707	311848	3028	0.01	1	1387
04202017-E01_S1105	NA18508	0.07946	0.07911	311848	4887	0.02	1	2267
04202017-E02_S1106	NA18508	0.08127	0.08151	311848	3038	0.01	1	1486
04202017-E03_S1107	NA18856	0.16665	0.03936	311848	2299	0.01	1	1140
04202017-E04_S1108	NA18508	0.20494	0.13695	311848	1451	0.00	1	744
04202017-E05_S1109	NA19190	0.10776	0.10338	311848	2346	0.01	1	1070
04202017-E06_S1110	NA18856	0.26910	0.12126	311848	1112	0.00	1	606
04202017-E07_S1111	NA18508	0.54296	0.13521	311848	326	0.00	1	234
