experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	ERCC	index
11032017	G03	2	1.447865208	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G04	1	4.509394683	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G05	1	3.273750767	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G06	1	3.286866084	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G07	1	0.971504282	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G08	1	2.899301271	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G09	1	2.92555422	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G10	1	3.720935836	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G11	1	1.20438678	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G12	1	4.098991595	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H01	1	3.266974162	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H02	1	1.796339521	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H03	1	0.974725262	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H04	1	2.338303171	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H05	1	0.831079954	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H06	1	1.490529837	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H07	1	5.228369911	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H08	1	4.414942217	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H09	1	1.093033315	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H10	0	0.721994745	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H11	1	4.575765872	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	H12	1	3.614952913	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11062017	A01	1	0.49959141	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A02	2	1.568904054	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A03	1	1.973043146	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A04	1	2.250612237	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A05	1	0.973409234	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A06	1	2.208252183	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A07	1	1.455012343	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A08	1	0.708883906	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A09	1	1.429763508	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A10	1	0.925334772	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A11	1	1.82616539	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	A12	1	0.269476707	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B01	1	1.785790891	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B02	2	2.399751149	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B03	0	0.381685066	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B04	1	2.390742786	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B05	1	2.426241104	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B06	1	1.581938776	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B07	1	1.211284894	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B08	2	1.610337591	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B09	1	1.881807234	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B10	0	0.169355421	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B11	1	1.213186118	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	B12	0	0.215518044	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	C01	1	0.692380329	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
11062017	C02	1	1.640702046	1	NA18507	NA18913	NA19099	NA19152	1:50000	3
