experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03232017	A09	1	1.193466474	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	A10	0	0.128355987	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	A11	1	1.290002083	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	A12	1	1.328286283	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B01	1	1.524684918	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B02	1	1.023194547	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B03	1	1.412702016	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B04	1	1.105663327	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B05	1	1.268073377	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B06	2	1.26565716	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B07	0	0.149834143	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B08	1	1.262304054	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B09	1	0.912603958	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B10	1	1.203064148	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B11	1	1.31442622	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	B12	1	1.552826664	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C01	1	0.838687126	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C02	0	0.071558114	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C03	1	1.520543485	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C04	1	1.336123328	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C05	1	0.593522776	0	18520	18502	18505	18522	5000	25000	NA	3
03232017	C06	1	0.363197118	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C07	2	1.306650956	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C08	1	0.517976334	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C09	1	0.825742792	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C10	1	1.601701408	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C11	1	1.176284409	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	C12	1	1.674536609	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D01	1	1.291311794	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D02	1	1.11240431	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D03	1	1.088604149	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D04	1	1.428287693	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D05	1	1.668130209	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D06	1	1.531249814	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D07	1	1.257779371	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	D08	1	1.053087621	1	18520	18502	18505	18522	5000	25000	NA	3
